WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI,Volume,Part
wfo-0001290318,ecology,EN,"Scattered in open grassy pine forest and near streams; 1,000–1,200 m altitude. Flowering in December and January.",W.J.J.O. de Wilde & B.E.E. Duyfjes,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0001290318,Forest Herbarium,All rights reserved,"Adenophora khasiana . Flora of Thailand. Vol. 11. Part 4, 2014. Pg. 501. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05301,11,4
wfo-0000530923,ecology,EN,Scattered in wet localities at low altitudes. Fruiting in November.,"W.J.J.O. de Wilde, B.E.E. Duyfjes & P. Phonsena",,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000530923,Forest Herbarium,All rights reserved,"Ammannia auriculata . Flora of Thailand. Vol. 11. Part 4, 2014. Pg. 549. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05350,11,4
wfo-0000530936,ecology,EN,"Lowland; soggy rice fields, wet open places; granite and shale bedrock, also on limestone. Flowering and fruiting throughout the year, but mainly from October to March.","W.J.J.O. de Wilde, B.E.E. Duyfjes & P. Phonsena",,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000530936,Forest Herbarium,All rights reserved,"Ammannia baccifera . Flora of Thailand. Vol. 11. Part 4, 2014. Pg. 549. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05351,11,4
wfo-0000823083,ecology,EN,"Scattered in grassy moist places in open deciduous dipterocarp or mixed pine-dipterocarp forest, at 1,000–1,200 m altitude; flowering & fruiting in July and December.",W.J.J.O. de Wilde & B.E.E. Duyfjes,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000823083,Forest Herbarium,All rights reserved,"Asyneuma fulgens . Flora of Thailand. Vol. 11. Part 4, 2014. Pg. 503. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05303,11,4
wfo-0000564313,ecology,EN,"Paddy fields, moist places along ditch sides.",G.C. Tucker & H. Razifard,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000564313,Forest Herbarium,All rights reserved,"Bergia capensis . Flora of Thailand. Vol. 11. Part 4, 2014. Pg. 543. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05344,11,4
wfo-0000826725,ecology,EN,"Exposed or among shrubs on rocky and grassy slopes, and in open hill evergreen forest; on limestone; 1,660–1,850 m altitude. Flowering & fruiting from September to December.",W.J.J.O. de Wilde & B.E.E. Duyfjes,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000826725,Forest Herbarium,All rights reserved,"Campanula cana . Flora of Thailand. Vol. 11. Part 4, 2014. Pg. 504. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05305,11,4
wfo-0000828038,ecology,EN,"Open grassy and rocky places; limestone ridges; 1,700–2,150 m altitude. Flowering & fruiting from September to December.",W.J.J.O. de Wilde & B.E.E. Duyfjes,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000828038,Forest Herbarium,All rights reserved,"Campanula pallida . Flora of Thailand. Vol. 11. Part 4, 2014. Pg. 504. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05306,11,4
wfo-0000828547,ecology,EN,Dry open rocky grassy places; hills of ordovician limestone; 800–950 m altitude. Flowering in June and in December.,W.J.J.O. de Wilde & B.E.E. Duyfjes,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000828547,Forest Herbarium,All rights reserved,"Campanula rosmarinifolia . Flora of Thailand. Vol. 11. Part 4, 2014. Pg. 507. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05307,11,4
wfo-0001290348,ecology,EN,"Along tracks and forest edges in dry evergreen forest, oak forest, mixed primary evergreen hardwood and pine forest, thickets and grass fields in light shade; granite bedrock, seldom on limestone; (600–)1,200–2,000 m altitude. Flowering & fruiting from September to January.",W.J.J.O. de Wilde & B.E.E. Duyfjes,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0001290348,Forest Herbarium,All rights reserved,"Campanumoea javanica javanica. Flora of Thailand. Vol. 11. Part 4, 2014. Pg. 509. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05310_0,11,4
wfo-0000857328,ecology,EN,"In evergreen forest, along streams, 100–500 m alt.",P. Chantaranothai,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000857328,Forest Herbarium,All rights reserved,"Chrysophyllum roxburghii . Flora of Thailand. Vol. 11. Part 4, 2014. Pg. 612. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05419,11,4
