"id","description","type","source","language","identifier","bibliographicCitation","url"
"wfo-0000001190","P. pyrifolia ist mit P. auriculata verwandt. Am Herbarmaterial ist es mitunter schwierig, eindeutig zu entscheiden, um welche der beiden Sippen es sich handelt. P. pyrifolia ist lediglich im Infloreszenzbereich gering verzweigt, während P. auriculata insgesamt reichlich verzweigt ist. Die Blätter der P. pyrifolia sind derber, mehr rundlich, weniger drüsig behaart, der Blattrand dichter gezähnelt als bei P. auriculata. P. pyrifolia hat nie Blattöhrchen, bei P. auriculata sind gelegentlich ™hrchen vorhanden. Die P. pyrifolia-Hüllschuppen sind stets derb, spröde und nur schwach drüsig behaart. P. pyrifolia blüht von Dezember bis Juni, hauptsächlich aber im März, P. auriculata blüht zum frühesten Zeitpunkt im April, aber vornehmlich im Juli.","Diagnostic","570F125F-CAC5-4C20-AC0D-E25AAF15369F","German","570F125F-CAC5-4C20-AC0D-E25AAF15369F","Kroner, G. 1980. Systematische studien im umkreis von Athrixia Ker-Gawler (Asteraceae). Mitt. Bot. Staatssamml. München 16: 1-268. [http://www.biodiversitylibrary.org/item/52055#page/17/mode/1up] [All rights reserved]","http://www.biodiversitylibrary.org/item/52055#page/17/mode/1up"
"wfo-0000000975","Die Sippe unterscheidet sich von der nächstverwandten F. hirsuta durch die breiteren Blätter und die drüsenlosen und mit abstehenden Borsten besetzten Pedunkeln. Von F. clavipilosa ist sie durch die nicht kopfigen Achänenhaare und die abstehenden Borsten zu trennen.","Diagnostic","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000002376","F. namaquana ist eine je nach äusseren Umständen stark veränderliche Sippe. Vereinzelt treten Exemplare mit kahlen Achänen auf (MARLOTH 7650), denen jedoch keine taxonomische Bedeutung beigemessen werden kann. Die nächst verwandten Sippen sind F. puberula und F. merxmuelleri, mit der die Art die relativ stark abgeleitete Chromosomenzahl 2n = 10 gemeinsam hat.","Diagnostic","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000003066","Besonders die Blattform und -grosse kann bei F. ovata stark von äusseren Umständen beeinflusst werden. Sie mag auf Grund des strauchigen Wuchses und der undeutlich dreireihigen Hüllschuppen noch gewisse Beziehungen zur sect. Felicia aufweisen, vermittelt jedoch auch zur sect. Neodetris (fast gleichlange Hüllschuppen, kurzborstige Achänenbehaarung, blaue Zungenblüten und gegenständige Blätter).","Diagnostic","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000004639","A. epaleaceus ist durch die weissgestreiften Köpfchen mit der dichten Hochblatthülle, die fehlenden Spreuschuppen und die rauhe Behaarung in allen Teilen leicht zu erkennen. Die kurzen weissen Borstenhaare auf weissen Höckern fallen an den dunklen Pflanzen stark auf und lassen sie weiss gepunktet erscheinen.Bei dieser Sippe lassen sich deutliche Tendenzen zur wiederholten Bildung einer Aussenhülle feststellen. Die eigentlichen Hüllschuppen sind wie sonst in der Gattung in der äussersten Reihe am kürzesten. Die längeren Hüllblätter, deren obere Hälfte bzw. obere zwei Drittel laubblattartig gestaltet sind und die nur im unteren, dem Köpfchen anliegenden Teil einen breiten Hautrand besitzen, müssen der sekundären Hochblatthülle zugeordnet werden. Diese schon deutlich angepasste Hülle wird wieder von normalen Laubblättern umgeben. Es sind also mindestens 3 Kategorien von Hüllorganen zu unterscheiden. Genau genommen ist wohl schon die äusserste, kürzeste Hüllschuppenreihe sekundär hinzugekommen, was sich aus den kurzen laubblattartigen Spitzen schliessen lässtDas Fehlen der Spreuschuppen macht eine Einbeziehung der Art in Amellus etwas schwierig. Nachdem aber auch bei anderen Arten der Gattung reduzierte oder z.T. ganz fehlende Spreuschuppen auftreten, (A. nanus, A. microglossus), stellt A. epaleaceus sicher ein Endglied dieser Entwicklung dar und wurde von HOFFMANN zu Recht als Amellus beschrieben. Die fehlenden Spreuschuppen deuten eine stark abgeleitete Art an. Einige Merkmale (Basiszahl x = 9, lange Pappusborsten, grosse Röhrenblüten mit langen Antheren und lang-dreieckigem Griffelanhängsel) sind aber für Amellus ursprünglich und lassen vermuten, dass A. epaleaceus eine frühe eigene Entwicklung darstellt. Hier schliesst sich der Kreis von den abgeleiteten Arten zu den Sippen der asteroides-Gruppe. Die Übereinstimmung mit der vorigen Art beschränkt sich zum grossen Teil auf Merkmale, die im Zusammenhang mit der Synaptospermie dieser beiden Sippen gesehen werden müssen: zur Reife fest geschlossene Köpfchen, Reduktion bzw. Verlust der Spreuschuppen sowie kleine, lang und dicht behaarte Achänen.","Diagnostic","269E3D99-16F7-487E-A5E5-701C622F96D4","German","269E3D99-16F7-487E-A5E5-701C622F96D4","Rommel, A. 1977. Die Gattung Amellus L. (Asteraceae-astereae). Systematischer Teil. Mitt. Bot. Staatssamml. München 13: 579-728. [All rights reserved]",""
"wfo-0000005718","F. bergeriana ist eine oft verkannte Sippe mit der meist kleinere Pflanzen anderer annueller Arten der Sektion Neodetris verwechselt wurden. Sie ist jedoch leicht kenntlich durch ihre immer gegenständigen Blätter und ihre für die relativ kleinen Köpfchen grossen Achänen. Einmalig in der ganzen Gattung sind zudem die inneren narbenlosen männlichen Scheibenbiüten.","Diagnostic","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000006827","F. hirsuta ist eine stark umweltgeprägte Art. Ihr Wuchs kann gedrungen kurzstrauchig bis zu hochaufgeschossenen Halbstäuchern wechseln. Letztere sind besonders durch ihre auffallenden Langtriebe gekennzeichnet. Dieser augenscheinlich standortbedingte Wechsel des Erscheinungsbildes hat zur Folge, dass habituell sehr heterogenes Material in einer Sippe vereinigt wird. Auch Blattgestalt und besonders der Sukkulenzgrad der Blätter wechseln stark. So stehen Pflanzen mit langen, schmal oblanzeolaten Blättern anderen mit kurzen, dicklichen und im Querschnitt fast runden Blättern gegenüber. Neben der Tatsache, dass recht unterschiedliche Pflanzen aus einer Kollektion existieren können, ist die Einheitlichkeit aller Formen in einigen umweltunabhängigeren Merkmalen für ihre Zusammenfassung unter einer Art verantwortlich. Wesentlich ist hierbei die Drüsenbehaarung der Köpfchenstiele, die relativ grossen Hüllschuppen, die borstige Behaarung der Blätter, die flachen schwarz-braunen Achänen und deren etwas zur Spitze hin verbreiterten Haare. Von F. hirsuta unterscheidet sich die Art durch die andere Behaarung und die wesentlich schmäleren Blätter, von F. muricata durch die meist flachen Blätter, die geringe Anzahl büscheliger Kurztriebe, die drüsigen Pedunkeln und die andersgestalteten Achänen. F. clavipilosa weicht besonders durch ihre charakteristischen Achänenhaare ab.","Diagnostic","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000006928","F.whitehillensis ist besonders gekennzeichnet durch die lang seidenhaarigen Achänen sowie die charakteristische Blattform, die Wuchsform entspricht der von F. filifolia ssp. schaeferi. Die Sippe ist besser neben F. lasiocarpa einzuordnen. Die Pflanzen aus Calvinia weichen durch die längeren, immer ungezähnten Blätter und deren mehr graugrüne Farbe ab. Die Übergänge sind jedoch gleitend und eine besondere taxonomische Behandlung dieser Population erscheint daher unangebracht. Hinzu kommt, dass die Aufsammlung aus dem Namaqualand in diesen Eigenschaften wieder ganz dem Typ entspricht. F. whitehillensis ist eine weitere Sippe aus diesem Formenkreis, die eine Tendenz zum Verlust der Zungenblüten zeigt. Bei der Aufsammlung MERXMÜLLER & GIESS 3765 fehlen sie ganz, bei ACOCKS 18407 treten sie noch vereinzelt auf, wie seine Anmerkung ‘rays mauve but rarely occuring - these are few on these specimens’ zeigt.","Diagnostic","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000008890","Die Art ist mit F. hyssopifolia am nächsten verwandt, unterscheidet sich von dieser hauptsächlich durch die grösseren Achänen, die kahlen, knorpelig gesägten Blätter und den gedrungenen kräftigeren Wuchs.","Diagnostic","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000007262","Die Beziehungen zu F. echinata sind sehr eng, die Unterschiede jedoch konstant (Blattform und Behaarung). Sie stellt eine Paralellentwicklung zu Polyarrhena stricta Grau dar.","Diagnostic","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000010125","F. mossamedensis zeigt zwei Besonderheiten. Einmal ist es die einzige Art mit gelben Ligulae ausserhalb der Sektion Longistylus, zum anderen bietet die Verbreitung einige Probleme. Habituell ähnelt die Art stark jungen, wenig verholzten Exemplaren von F. clavipilosa ssp. transvaalensis, mit der sie auch zum Teil das Areal gemeinsam hat.","Diagnostic","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000009660","Felicia denticulata wurde bisher auf Grund ihrer gegenständigen Blätter in den Herbarien mit F. amelloides verwechselt. Sie ist besonders gekennzeichnet durch ihre dreireihigen Hüllschuppen, die zarteren, oft leicht gezähnelten, meist spitzen, eiförmigen Blätter. Das nicht streng zweireihige Involucrum weist die Art in die Nähe von F. dubia und F. cymbalariae.","Diagnostic","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000014374","Die Art kann mit kräftigen Formen von F. bellidioides verwechselt werden, unterscheidet sich aber durch die grösseren, wenigstens teilweise grob gezähnten Blätter, die grösseren Achänen, die gleichmässig schwarz und mit längeren Haaren besetzt sind. Die beiden als Bastarde bezeichneten Pflanzen zeichnen sich hauptsächlich durch gegenständige, gleichmässiger am Stengel verteilte Beblätterung aus. Bei ESTERHUYSEN 9337 kommt als zweiter Partner möglicherweise F. cymbalariae in Frage, bei ESTERHUYSEN 11327 vielleicht eine Form von F. amoena mit stärker gegenständiger Beblätterung.","Diagnostic","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000015266","F. serrata erinnert besonders mit zarten schmalblättrigen Pflanzen habituell an F. microsperma. Es sind aber ebenso Beziehungen zu F. tenella vorhanden. F. serrata ist durch ihre am Rand knorpeligen und borstig bewimperten Blätter, die Mehrjährigkeit und die kleinen, etwas gehäuften Köpfchen ausgezeichnet.","Diagnostic","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
