taxonID,description,type,rightsHolder,source,license,rights
wfo-0001301573,"La sève à préparer une colle, et les indigénes du kasai trouveraient, en cas de disette, un aliment d'appoint dans le tronc.",use,Meise Botanic Garden,FAC-513,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000485151,"Bois fort semblable et même supérieur à celui du sapin, homogène, rose à l'état frais, brunissant à l'air, sans canaux résinifères, à grain fin, susceptible d'un beau poli et de densité variant de 0,345 à 0,590, convenant pour la construction et l'ameublement et remplaçant en Afrique orientale le sapin, bien que plus lourd et plus dur (Chalck, Burtt-Davy et Desch, Forest Trees and Timbers of the British Empire, I, p. 24-25, 1932).",use,Meise Botanic Garden,FAC-602,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000355729,"J. procera fournit un bois fort apprécié, dur, résistant aux termites, très ordant et convenant pour la construction, la fabrication de panneaux et de crayons; il est connu sous le nom de African Cedar et exploité surtout au Kenya (Chalck, Burtt-Davy et Desch, Forest Trees and Timbers of the British Empire, I, p. 11-12, 1932). Paraît être une essence forestière précieuse pour le reboisement naturel et artificiel dans la région des Marungu.",use,Meise Botanic Garden,FAC-511,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000795564,"Les tiges souples et solides sont utilisées pour faire des pièges et des collets, ainsi que des liens pour le portage. Les graines sont mangées après cuisson.",use,Meise Botanic Garden,FAC-530,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000590663,"Essence à croissance rapide, utilisée pour ornementation, plantations routières, peuplements forestiers en mélange avec d'autres espèces. — Bois de chauffage.",use,Meise Botanic Garden,FAC-498,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000487600,"Les feuilles sont utilisées comme légumes et comme condiment à goût aromatique et poivré; leur macération fournit un remède contre les maux de dents, de ventre et contre la blennorrhagie; elles auraient aussi des propriétés antiscorbutiques, diurétiques, détersives, vermifuges et vulnéraires.",use,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000478760,"Les infusions de feuilles seraient anthelmintiques; celles des baies, stomachiques et vermifuges.",use,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000479019,"La racine serait un remède contre la bronchite; la décoction d'écorce est employée, en lavement, en cas d'affections intestinales; les baies servent de médicaments contre les rhumes, elles auraient des propriétés stomachiques, carminatives, antirhumatismales et antisyphilitiques, sont riches en pipérine et cultivées comme condiment (poivre des Achantis du commerce).",use,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000477971,"Cultivé comme légume et utilisé en médecine indigène pour faire des infusions servant de remède contre les convulsions, ou des compresses chaudes pour soigner les plaies et les furoncles.",use,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000724297,"Bois dur, jaune, pour menuiserie, canots (d'après Dalziel 1).",use,Meise Botanic Garden,FAC-638,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000593507,"Bois blanc assez dur, propre à la menuiserie et à la charpente, mais dégageant, en se desséchant, une odeur fétide. Espèce connue des sorciers et des chasseurs, nourrissant une chenille recherchée des noirs.",use,Meise Botanic Garden,FAC-638,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000593695,"Bois très dur, blanc à rayures noires, pour construction, menuiserie et pirogues. L'espèce sert à préparer des poisons d'épreuves et serait dans le Bas-Uele l'objet de croyances superstitieuses.",use,Meise Botanic Garden,FAC-638,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000593389,"Bois demi-dur, jaune clair, pour menuiserie et charpente.",use,Meise Botanic Garden,FAC-638,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
